dataset	x	y
1	0.8756	-0.95
1	0.8081	-0.9758
1	0.9967	-0.25
1	1.0116	-0.1564
1	1.0025	-0.1704
1	1.0451	-0.1443
1	0.9666	-0.1696
1	1.0523	-0.1347
1	0.9949	-0.1715
1	0.6933	-0.31
1	0.7386	-0.2182
1	0.6663	-0.2826
1	0.7166	-0.27
1	0.7128	-0.3378
1	0.7739	-0.3131
1	0.7671	-0.3559
1	0.8133	-0.9967
1	0.8505	-0.9448
1	0.7702	-0.9902
1	0.7768	-0.9283
1	0.7052	-0.9988
1	0.8027	-0.9829
1	0.7078	-1.0035
1	0.9967	-0.9967
1	1.0623	-0.9178
1	0.9925	-0.964
1	1.069	-0.9252
1	1.0521	-0.9436
1	1.0868	-0.8798
1	1.0287	-0.9194
1	0.4867	1.0
1	0.5429	1.0488
1	0.5196	1.0439
1	0.5971	1.0604
1	0.5686	1.0095
1	0.5984	1.08
1	0.5834	1.0688
1	0.6933	-0.31
1	0.6987	-0.2745
1	0.6677	-0.3323
1	0.747	-0.2359
1	0.6893	-0.3139
1	0.7246	-0.2399
1	0.6811	-0.2814
1	0.9967	-0.25
1	1.0196	-0.1855
1	1.0179	-0.2512
1	1.0875	-0.1956
1	1.0659	-0.2754
1	1.1315	-0.1853
1	1.1262	-0.201
1	0.9967	1.0
1	1.0498	1.0711
1	0.9986	0.9867
1	1.0054	1.0341
1	0.9087	1.0122
1	0.9962	1.0249
1	0.9407	1.0145
1	-1.0	1.0
1	-0.9275	1.0565
1	-0.9556	0.9783
1	-0.9078	1.0268
1	-0.9999	0.9652
1	-0.9845	1.0557
1	-1.0227	0.981
1	-1.0	-0.5467
1	-0.9774	-0.4775
1	-1.0288	-0.4865
1	-0.9718	-0.4072
1	-1.0295	-0.459
1	-0.9379	-0.3719
1	-1.0344	-0.3786
1	0.6933	-0.31
1	0.7156	-0.2554
1	0.7155	-0.2769
1	0.8128	-0.2278
1	0.7918	-0.3003
1	0.8185	-0.2615
1	0.8082	-0.3196
1	0.4867	1.0
1	0.5575	1.0754
1	0.539	1.0126
1	0.558	1.064
1	0.4947	1.0131
1	0.5083	1.1035
1	0.4467	1.0419
2	0.92	-0.58
2	0.9738	-0.5131
2	0.9514	-0.5621
2	0.9919	-0.5473
2	0.9046	-0.6172
2	0.9655	-0.6085
2	0.9523	-0.6936
2	-0.2	-0.2933
2	-0.1409	-0.2868
2	-0.2221	-0.3432
2	-0.1948	-0.2505
2	-0.2275	-0.3019
2	-0.1598	-0.2276
2	-0.244	-0.2582
2	0.89	0.44
2	0.9508	0.5163
2	0.874	0.4601
2	0.9244	0.486
2	0.9099	0.4205
2	0.9178	0.4848
2	0.848	0.4409
2	0.12	0.6167
2	0.186	0.6278
2	0.1317	0.5347
2	0.1901	0.6097
2	0.1058	0.5833
2	0.1896	0.6055
2	0.1656	0.5923
2	0.8267	-0.1667
2	0.8842	-0.1656
2	0.7938	-0.2119
2	0.7977	-0.1964
2	0.6987	-0.2905
2	0.7077	-0.2377
2	0.654	-0.2437
2	0.8667	-0.9967
2	0.8869	-0.9129
2	0.846	-0.9922
2	0.8526	-0.9796
2	0.8466	-0.9991
2	0.9259	-0.9183
2	0.8877	-0.9536
2	0.9967	-0.9967
2	1.0055	-0.9771
2	0.9535	-1.0136
2	1.0202	-0.997
2	0.9905	-1.0056
2	1.0104	-0.9854
2	0.9123	-1.0614
2	0.9967	-0.2467
2	1.0081	-0.209
2	0.9366	-0.2287
2	0.9792	-0.1535
2	0.8908	-0.2517
2	0.9448	-0.2515
2	0.9041	-0.3071
2	-0.9967	0.8667
2	-0.9591	0.8946
2	-1.0417	0.8151
2	-1.0273	0.8179
2	-1.1223	0.7504
2	-1.0843	0.772
2	-1.0925	0.7285
2	-1.0	-0.9967
2	-0.9938	-0.9346
2	-1.0342	-1.0315
2	-0.966	-1.0262
2	-1.0196	-1.1107
2	-1.0085	-1.0686
2	-1.0365	-1.139
2	0.8667	-0.9967
2	0.9368	-0.9859
2	0.8927	-1.0849
2	0.9435	-1.0616
2	0.8845	-1.1518
2	0.939	-1.0557
2	0.9014	-1.1042
2	0.8267	-0.1667
2	0.9218	-0.1213
2	0.8955	-0.1682
2	0.9817	-0.1099
2	0.8873	-0.1816
2	0.955	-0.1544
2	0.8833	-0.2433
2	0.7367	1.0
2	0.8262	1.0795
2	0.7751	1.0546
2	0.8621	1.0589
2	0.7968	1.0514
2	0.8786	1.1275
2	0.8116	1.094
2	0.8267	-0.1667
2	0.8272	-0.0974
2	0.7514	-0.1457
2	0.7571	-0.1022
2	0.6682	-0.1034
2	0.7272	-0.0757
2	0.6492	-0.1072
2	0.9967	-0.2467
2	1.0724	-0.2326
2	1.0635	-0.2452
2	1.1486	-0.1824
2	1.0904	-0.2437
2	1.1196	-0.2039
2	1.0739	-0.2749
2	0.9967	1.0
2	1.04	1.0194
2	0.9467	0.9415
2	1.035	0.992
2	0.952	0.9104
2	0.9596	0.9702
2	0.8832	0.9655
2	-1.0	1.0
2	-0.9518	1.0055
2	-0.9944	0.9332
2	-0.9659	0.952
2	-1.0302	0.8522
2	-0.9406	0.9183
2	-0.9595	0.8507
2	-0.9967	0.8667
2	-0.9723	0.9439
2	-1.0221	0.8885
2	-0.9758	0.9785
2	-0.9912	0.9245
2	-0.8957	0.9727
2	-0.9639	0.9055
2	0.8267	-0.1667
2	0.8639	-0.1291
2	0.8018	-0.1499
2	0.8164	-0.1202
2	0.7189	-0.2193
2	0.7864	-0.218
2	0.7349	-0.3111
2	0.7367	1.0
2	0.7406	1.0187
2	0.6436	0.953
2	0.6634	1.0356
2	0.5835	1.035
2	0.6056	1.0365
2	0.5929	0.9818
3	0.03	-0.4633
3	0.1262	-0.4151
3	0.098	-0.4803
3	0.1275	-0.4145
3	0.0567	-0.418
3	0.1097	-0.412
3	0.07	-0.4576
3	0.8633	-0.31
3	0.8936	-0.2549
3	0.8896	-0.2974
3	0.9467	-0.2393
3	0.8731	-0.2875
3	0.8925	-0.2316
3	0.8806	-0.2536
3	0.9233	0.78
3	1.0064	0.8131
3	0.973	0.8124
3	1.0592	0.8382
3	0.9787	0.8011
3	1.0151	0.8539
3	0.9803	0.7799
3	-0.2467	0.4333
3	-0.1937	0.5247
3	-0.2202	0.5164
3	-0.206	0.589
3	-0.2195	0.5301
3	-0.1294	0.5537
3	-0.1862	0.4813
3	0.82	0.51
3	0.8449	0.5277
3	0.8442	0.4845
3	0.8909	0.5771
3	0.8702	0.5318
3	0.9475	0.6068
3	0.8536	0.5499
3	-1.0	-0.6
3	-0.9546	-0.5937
3	-0.9819	-0.6201
3	-0.9117	-0.5421
3	-1.0069	-0.6355
3	-0.9733	-0.5842
3	-1.0482	-0.6502
3	-1.0	-0.9967
3	-0.9081	-0.9577
3	-0.9366	-1.0146
3	-0.8775	-0.9814
3	-0.8854	-0.986
3	-0.8792	-0.982
3	-0.9742	-1.0699
3	0.6533	-0.9967
3	0.7446	-0.9219
3	0.7397	-0.9905
3	0.7959	-0.9357
3	0.7238	-1.0159
3	0.8025	-0.9542
3	0.7759	-1.0445
3	0.9967	0.6333
3	1.0168	0.6894
3	0.9239	0.6794
3	0.9834	0.7051
3	0.9455	0.67
3	0.9631	0.7485
3	0.9525	0.6606
3	0.82	0.51
3	0.837	0.5765
3	0.7655	0.4842
3	0.7691	0.5161
3	0.7306	0.4654
3	0.7485	0.5085
3	0.7186	0.4499
3	0.6533	-0.9967
3	0.7519	-0.9358
3	0.7471	-0.9708
3	0.8233	-0.9128
3	0.7513	-0.9714
3	0.8335	-0.8996
3	0.7614	-0.9206
3	0.9967	-0.9967
3	1.0539	-0.9415
3	0.9821	-1.0162
3	1.014	-0.9976
3	0.9187	-1.0545
3	0.9457	-0.9766
3	0.8923	-1.0377
3	0.9967	1.0
3	1.0753	1.0483
3	0.987	0.9491
3	1.0326	0.978
3	1.005	0.9233
3	1.0917	0.9346
3	1.0237	0.8996
3	0.8767	1.0
3	0.9407	1.0445
3	0.8474	0.9877
3	0.9092	1.0594
3	0.8322	0.9783
3	0.9158	1.0489
3	0.876	0.9911
3	0.82	0.51
3	0.9051	0.5443
3	0.8378	0.5357
3	0.8892	0.5698
3	0.8271	0.5072
3	0.9139	0.5291
3	0.8774	0.4931
3	0.9967	0.6333
3	1.0087	0.6577
3	0.9094	0.5654
3	0.9137	0.6284
3	0.8387	0.5413
3	0.8821	0.6404
3	0.8425	0.6267
3	-1.0	-0.6
3	-0.9908	-0.5875
3	-1.0013	-0.6339
3	-0.918	-0.5633
3	-0.9796	-0.6408
3	-0.924	-0.5448
3	-0.9723	-0.5901
3	0.82	0.51
3	0.9007	0.5632
3	0.8405	0.5114
3	0.9241	0.5664
3	0.9165	0.5049
3	1.0069	0.5778
3	0.9205	0.493
3	0.8767	1.0
3	0.9303	1.0934
3	0.8442	1.0799
3	0.8668	1.0989
3	0.8232	1.0253
3	0.8926	1.0402
3	0.8284	0.9732
3	-1.0	1.0
3	-0.9034	1.0972
3	-0.949	1.066
3	-0.8859	1.11
3	-0.8972	1.0984
3	-0.7999	1.1352
3	-0.8902	1.0982
4	0.1667	-0.6233
4	0.1801	-0.5489
4	0.1426	-0.608
4	0.1639	-0.5596
4	0.162	-0.6063
4	0.1787	-0.5458
4	0.178	-0.5759
4	-0.6867	-0.2367
4	-0.6702	-0.2345
4	-0.7156	-0.3137
4	-0.651	-0.307
4	-0.6527	-0.3504
4	-0.5769	-0.2522
4	-0.6227	-0.2727
4	0.64	0.2467
4	0.6714	0.254
4	0.6079	0.1737
4	0.6256	0.2368
4	0.6178	0.1438
4	0.6543	0.2375
4	0.6456	0.221
4	-0.24	0.6233
4	-0.1411	0.642
4	-0.2331	0.6385
4	-0.1417	0.6538
4	-0.241	0.6301
4	-0.1652	0.6343
4	-0.2057	0.5871
4	-0.9	-0.9967
4	-0.825	-0.8967
4	-0.8894	-0.9063
4	-0.8036	-0.9022
4	-0.873	-0.9105
4	-0.8367	-0.8683
4	-0.8441	-0.8772
4	0.9967	-0.9967
4	1.0721	-0.9552
4	0.9816	-1.0117
4	1.0147	-0.9872
4	0.9979	-1.0622
4	1.0703	-1.0371
4	0.9948	-1.0618
4	0.9967	-0.4333
4	1.0131	-0.3386
4	0.9767	-0.4219
4	0.9768	-0.3944
4	0.8888	-0.4552
4	0.9047	-0.451
4	0.8166	-0.4844
4	-0.0533	-0.01
4	0.0179	0.0486
4	0.0061	0.0028
4	0.0648	0.0515
4	0.014	0.0124
4	0.0652	0.0434
4	-0.0316	-0.0074
4	-1.0	0.4
4	-0.9412	0.4113
4	-0.9449	0.4104
4	-0.9181	0.4246
4	-0.9373	0.3754
4	-0.9325	0.3789
4	-0.9943	0.3582
4	-1.0	-0.9967
4	-0.9748	-0.9333
4	-1.035	-0.9506
4	-1.0294	-0.943
4	-1.0937	-1.0191
4	-0.998	-0.9664
4	-1.0935	-0.9878
4	-0.9	-0.9967
4	-0.8876	-0.9903
4	-0.8895	-1.0888
4	-0.802	-1.0103
4	-0.8149	-1.0919
4	-0.7378	-1.0236
4	-0.8084	-1.0323
4	-0.0533	-0.01
4	-0.0454	0.0123
4	-0.1299	-0.0874
4	-0.0856	0.0116
4	-0.1773	-0.0131
4	-0.1534	0.0056
4	-0.1733	-0.0184
4	0.7767	1.0
4	0.8208	1.0459
4	0.7971	1.0204
4	0.8505	1.0594
4	0.7629	1.0189
4	0.8471	1.101
4	0.8197	1.0828
4	-0.0533	-0.01
4	0.0306	0.0279
4	-0.0029	-0.0557
4	0.0507	-0.0123
4	-0.0187	-0.0669
4	0.0673	-0.0365
4	-0.0074	-0.1182
4	0.9967	-0.4333
4	1.0766	-0.41
4	0.9922	-0.4415
4	1.0652	-0.3444
4	1.0028	-0.4395
4	1.0707	-0.4262
4	0.9718	-0.5245
4	0.9967	1.0
4	1.0179	1.0935
4	0.9939	0.9996
4	1.0016	1.0021
4	0.9142	0.955
4	0.9921	1.0005
4	0.9414	0.9333
4	-1.0	0.4
4	-0.9948	0.4246
4	-1.0759	0.39
4	-1.0197	0.4894
4	-1.0964	0.4273
4	-1.0291	0.4619
4	-1.0381	0.3851
4	-0.0533	-0.01
4	-0.0523	-0.0008
4	-0.0983	-0.0238
4	-0.039	0.0629
4	-0.0885	0.0544
4	0.0059	0.1461
4	-0.0113	0.1221
4	0.7767	1.0
4	0.8666	1.0417
4	0.8265	1.0275
4	0.9188	1.0628
4	0.9144	1.0315
4	0.9331	1.0456
4	0.9192	1.0292
4	-1.0	1.0
4	-0.9547	1.0015
4	-1.047	0.9058
4	-1.0323	0.947
4	-1.1134	0.8732
4	-1.0298	0.9441
4	-1.0458	0.9046
5	-0.0867	-0.4233
5	-0.0038	-0.3918
5	-0.0553	-0.4387
5	-0.0417	-0.3557
5	-0.1268	-0.4063
5	-0.0492	-0.3364
5	-0.0533	-0.3788
5	0.83	-0.1733
5	0.9144	-0.152
5	0.902	-0.2048
5	0.9129	-0.1447
5	0.8984	-0.1955
5	0.9694	-0.1345
5	0.8966	-0.1797
5	0.7833	0.79
5	0.8531	0.8797
5	0.8119	0.854
5	0.8404	0.9445
5	0.7552	0.8453
5	0.8007	0.9172
5	0.7693	0.8977
5	-0.3167	0.54
5	-0.2679	0.5797
5	-0.3583	0.5396
5	-0.2713	0.5963
5	-0.3401	0.5613
5	-0.2898	0.6513
5	-0.3515	0.5645
5	0.6033	0.4733
5	0.6882	0.5669
5	0.6015	0.4694
5	0.6709	0.533
5	0.5829	0.487
5	0.6639	0.5132
5	0.5737	0.5055
5	-1.0	-0.2267
5	-0.9447	-0.1862
5	-1.03	-0.2831
5	-1.017	-0.271
5	-1.0793	-0.3384
5	-1.0075	-0.3004
5	-1.0359	-0.3131
5	-1.0	-0.9967
5	-0.9185	-0.9933
5	-0.9902	-0.9977
5	-0.979	-0.9064
5	-1.056	-0.9262
5	-1.0474	-0.8833
5	-1.1429	-0.9508
5	0.7133	-0.9967
5	0.7195	-0.9359
5	0.621	-0.9537
5	0.6755	-0.9164
5	0.6654	-0.9941
5	0.6973	-0.9143
5	0.633	-0.9226
5	0.9967	0.6633
5	1.0763	0.6717
5	1.059	0.6427
5	1.1239	0.7164
5	1.0791	0.6701
5	1.1362	0.7244
5	1.1195	0.6433
5	0.6033	0.4733
5	0.6582	0.4901
5	0.6552	0.432
5	0.7222	0.4363
5	0.6955	0.4098
5	0.7826	0.5034
5	0.7003	0.4615
5	0.7133	-0.9967
5	0.8089	-0.9058
5	0.7924	-0.9804
5	0.8129	-0.9715
5	0.8075	-1.014
5	0.8372	-0.9463
5	0.7686	-0.9532
5	0.9967	-0.9967
5	1.0181	-0.9292
5	0.9954	-1.0014
5	1.0424	-0.9506
5	1.0359	-0.9998
5	1.0366	-0.9124
5	0.9859	-0.9614
5	0.57	1.0
5	0.6561	1.0619
5	0.6399	0.9895
5	0.7092	1.0616
5	0.6459	1.0078
5	0.702	1.0784
5	0.6173	1.0104
5	0.6033	0.4733
5	0.6665	0.5637
5	0.6507	0.5145
5	0.706	0.5781
5	0.6143	0.5394
5	0.6943	0.5896
5	0.6549	0.497
5	0.9967	0.6633
5	1.0597	0.7155
5	1.0002	0.6963
5	1.0592	0.747
5	1.0537	0.6933
5	1.1411	0.7557
5	1.0784	0.6595
5	0.9967	1.0
5	1.0253	1.0356
5	0.9317	0.9671
5	0.9807	1.0474
5	0.9624	0.9951
5	0.9749	1.0937
5	0.9073	1.023
5	-1.0	-0.2267
5	-0.9001	-0.1443
5	-0.9458	-0.1766
5	-0.8531	-0.1501
5	-0.8906	-0.2152
5	-0.8217	-0.1483
5	-0.8494	-0.1859
5	0.6033	0.4733
5	0.6874	0.4951
5	0.6144	0.4186
5	0.6964	0.4568
5	0.6827	0.3652
5	0.7559	0.4437
5	0.6631	0.3969
5	0.57	1.0
5	0.5801	1.0552
5	0.5651	0.9954
5	0.5833	1.0516
5	0.5644	1.0414
5	0.6318	1.0979
5	0.5867	1.0607
5	-1.0	1.0
5	-0.9259	1.0987
5	-1.0045	1.0123
5	-0.9218	1.0604
5	-0.9397	0.9633
5	-0.9059	1.0316
5	-0.9832	1.0194
6	-0.0933	-0.7233
6	-0.0572	-0.7048
6	-0.102	-0.7081
6	-0.0036	-0.6247
6	-0.0302	-0.645
6	-0.0214	-0.6032
6	-0.0636	-0.6379
6	-0.8933	-0.56
6	-0.8862	-0.48
6	-0.9254	-0.5682
6	-0.8761	-0.4759
6	-0.9386	-0.5521
6	-0.8676	-0.4866
6	-0.9249	-0.5342
6	0.2	0.2267
6	0.246	0.3
6	0.2277	0.2068
6	0.2647	0.2176
6	0.1688	0.1317
6	0.1737	0.2265
6	0.1694	0.1562
6	-0.8633	0.4533
6	-0.8522	0.5461
6	-0.8703	0.5089
6	-0.7958	0.5884
6	-0.8612	0.5733
6	-0.832	0.6099
6	-0.8875	0.5563
6	-0.7467	-0.2033
6	-0.6718	-0.1818
6	-0.7414	-0.1944
6	-0.6492	-0.1383
6	-0.6796	-0.1671
6	-0.6728	-0.0922
6	-0.7688	-0.1347
6	-0.8033	-0.9967
6	-0.7034	-0.9668
6	-0.7166	-1.0566
6	-0.6471	-0.9922
6	-0.6865	-1.0323
6	-0.5955	-0.9949
6	-0.6028	-1.0292
6	0.9967	-0.9967
6	1.0397	-0.9908
6	0.9526	-1.0358
6	1.0269	-0.9468
6	1.0015	-1.0016
6	1.0438	-0.9977
6	0.9667	-1.0878
6	0.9967	-0.8433
6	1.0885	-0.7656
6	1.0592	-0.7977
6	1.091	-0.7219
6	1.0613	-0.7832
6	1.0796	-0.7629
6	1.064	-0.8351
6	-1.0	-0.0967
6	-0.9912	-0.0607
6	-0.9925	-0.1344
6	-0.9256	-0.1149
6	-0.9825	-0.157
6	-0.948	-0.0777
6	-0.9513	-0.1753
6	-1.0	-0.9967
6	-0.9709	-0.9432
6	-1.0168	-0.9556
6	-1.003	-0.9064
6	-1.0837	-0.9483
6	-1.0227	-0.9075
6	-1.0565	-0.927
6	-0.8033	-0.9967
6	-0.7422	-0.9887
6	-0.8046	-1.0082
6	-0.7942	-0.922
6	-0.8194	-0.9325
6	-0.7261	-0.9249
6	-0.8144	-0.9512
6	-0.7467	-0.2033
6	-0.7056	-0.1186
6	-0.7286	-0.1619
6	-0.7175	-0.1476
6	-0.7811	-0.1777
6	-0.7287	-0.1295
6	-0.7452	-0.1834
6	-0.6933	1.0
6	-0.6901	1.0218
6	-0.6966	1.0012
6	-0.6267	1.0433
6	-0.6975	1.0396
6	-0.6234	1.0615
6	-0.6687	0.9659
6	-0.7467	-0.2033
6	-0.7107	-0.113
6	-0.7783	-0.1188
6	-0.7199	-0.0706
6	-0.7469	-0.0803
6	-0.6893	-0.0079
6	-0.717	-0.1071
6	0.9967	-0.8433
6	1.0414	-0.8373
6	0.9644	-0.8509
6	0.996	-0.8269
6	0.9946	-0.8399
6	1.0237	-0.7485
6	0.9698	-0.8068
6	0.9967	1.0
6	0.9991	1.0439
6	0.9165	0.9839
6	0.9927	1.0283
6	0.9123	0.9468
6	0.928	1.0447
6	0.8749	1.0303
6	-1.0	1.0
6	-0.949	1.0907
6	-0.9495	1.0387
6	-0.8998	1.0755
6	-0.9893	0.9954
6	-0.9221	1.0394
6	-1.0136	0.9568
6	-1.0	-0.0967
6	-0.9361	-0.0192
6	-0.9541	-0.071
6	-0.8938	0.0085
6	-0.9425	-0.0873
6	-0.9313	-0.0858
6	-0.9878	-0.099
6	-0.7467	-0.2033
6	-0.6726	-0.1148
6	-0.7249	-0.1642
6	-0.6544	-0.1476
6	-0.6662	-0.2306
6	-0.5929	-0.1417
6	-0.6049	-0.181
6	-0.6933	1.0
6	-0.6298	1.0245
6	-0.7271	1.0139
6	-0.709	1.0937
6	-0.7561	1.0418
6	-0.7076	1.1261
6	-0.7553	1.1042
7	0.3467	-0.6
7	0.4171	-0.5808
7	0.3805	-0.6465
7	0.3883	-0.5739
7	0.346	-0.5774
7	0.4238	-0.5668
7	0.353	-0.5833
7	-0.62	-0.4467
7	-0.5975	-0.4435
7	-0.6098	-0.5341
7	-0.5474	-0.4563
7	-0.5498	-0.5238
7	-0.525	-0.441
7	-0.5566	-0.5298
7	0.6233	0.3467
7	0.696	0.42
7	0.6491	0.4117
7	0.6746	0.4163
7	0.6662	0.4061
7	0.6739	0.4817
7	0.5877	0.3842
7	-0.3367	0.5333
7	-0.294	0.6327
7	-0.3399	0.6195
7	-0.2876	0.6209
7	-0.3283	0.5435
7	-0.2484	0.6163
7	-0.3245	0.5796
7	-0.49	-0.9967
7	-0.4707	-0.9458
7	-0.5281	-0.988
7	-0.4371	-0.8883
7	-0.4783	-0.9305
7	-0.3811	-0.8759
7	-0.4663	-0.9485
7	0.9967	-0.9967
7	1.0455	-0.9771
7	0.9549	-1.014
7	0.9885	-0.9652
7	0.9217	-1.0418
7	1.0191	-0.9975
7	0.9515	-1.0699
7	0.9967	-0.23
7	1.0256	-0.1836
7	0.9522	-0.2613
7	0.9935	-0.2486
7	0.9417	-0.261
7	0.9926	-0.2523
7	0.9215	-0.3172
7	-0.0033	-0.09
7	0.0373	-0.0143
7	0.0185	-0.0338
7	0.027	0.0416
7	-0.0263	-0.0504
7	0.053	0.0292
7	-0.0109	0.0121
7	-1.0	0.0767
7	-0.9409	0.162
7	-0.9758	0.135
7	-0.9087	0.1495
7	-0.9586	0.0629
7	-0.8715	0.1605
7	-0.9554	0.1522
7	-1.0	-0.9967
7	-0.9075	-0.9588
7	-0.9165	-0.963
7	-0.8844	-0.882
7	-0.9588	-0.925
7	-0.8942	-0.8267
7	-0.9217	-0.8332
7	-0.49	-0.9967
7	-0.4494	-0.9445
7	-0.4523	-0.9805
7	-0.3776	-0.9168
7	-0.4428	-0.9856
7	-0.3606	-0.9654
7	-0.4425	-0.9694
7	-0.0033	-0.09
7	0.0369	-0.012
7	-0.0325	-0.0667
7	0.0584	-0.048
7	0.0135	-0.0831
7	0.1115	-0.0252
7	0.0693	-0.0747
7	0.5533	1.0
7	0.596	1.0902
7	0.5806	1.0232
7	0.6258	1.0286
7	0.5699	1.0231
7	0.5763	1.0412
7	0.5415	0.9834
7	-0.0033	-0.09
7	0.0562	0.008
7	-0.0401	-0.0786
7	0.0281	-0.0608
7	-0.0233	-0.1562
7	0.0541	-0.1274
7	0.0203	-0.2166
7	0.9967	-0.23
7	1.0224	-0.1699
7	0.9422	-0.2148
7	1.0274	-0.1292
7	1.0235	-0.1353
7	1.0692	-0.1291
7	1.0043	-0.193
7	0.9967	1.0
7	1.0567	1.0198
7	0.9808	0.9994
7	1.0037	1.0887
7	0.9225	1.0755
7	0.9669	1.1701
7	0.9023	1.1198
7	-1.0	0.0767
7	-0.903	0.1205
7	-0.9914	0.0967
7	-0.9574	0.1913
7	-1.0562	0.1143
7	-1.0331	0.148
7	-1.1178	0.1473
7	-0.0033	-0.09
7	0.0264	-0.0896
7	-0.0709	-0.1018
